clade_name	P35M2	P35M1	P35M0	C35F0	P34F2	P34F1	P34F0	C34M0	P24F1	P24F0	C24M0	P15M2	P15M1	P15M0	C15F0	P32M2	P32M1	P32M0	C32F0	P07M2	P07M1	P07M0	C07M0	P27M2	P27M1	P27M0	C27F0	P12M2	P12M1	P12M0	C12F0	P19M2	P19M1	P19M0	C19F0	P31M2	P31M1	P31M0	C31F0	P38M2	P38M1	P38M0	C38F0	P17M2	P17M1	P17M0	C17F0	P22M2	P22M1	P22M0	C22F0	P18M2	P18M1	P18M0	C18F0	P10M2	P10M1	P10M0	C10F0	P36M2	P36M1	P36M0	C36F0	P03M2	P03M1	P03M0	C03F0	P29F1	P29F0	C29M0	P13F2	P13F1	P13F0	C13M0	P01F2	P01F1	P01F0	C01M0	P30M2	P30M1	P30M0	C30F0	P28M1	P28M0	C28F0	P16M2	P16M1	P16M0	C16F0	P06M2	P06M0	P05M2	P05M0	C05F0	P33F2	P33F1	P33F0	C33M0	P21M1	P21M0	C21F0	P23M1	P23M0	C23M0	P04M2	P04M0	C04F0	P11M2	P11M1	P11M0	P08M2	P08M1	P08M0	C11F0	C08F0	P26M1	P26M0	C26F0	P37M2	P37M1	P37M0	C37F0	P25M2	P25M1	P25M0	C25F0	P14M2	P14M1	P14M0	C14F0	P02F2	P02F0	C02F0	P20M2	C20M0	P09M2	P09M1	P09M0	C09F0
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.99223	99.99632	99.96525	100	100	100	99.99878	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.99895	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.98285	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.9959	100	100	100	100	100	100	100	100	100	99.68025	99.91944	99.65415	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Actinobacteria	0.39382	0.36309	0.3205	0.1543	0.25601	0.68119	0.09548	0.05865	1.72595	0.19294	0.53357	0.14898	0.62677	0.49324	2.66704	0.13953	0.12285	0.16904	0.07311	1.18412	1.79678	0.27274	0.27573	0.11105	1.27333	0.04975	0.06226	0.04996	0.67578	0.16097	0.09394	0.10653	0.10736	0.75929	1.59034	0.35115	0.45712	0.39643	1.58091	0.161	0.45425	0.06004	1.31796	0.81754	1.76853	0.20327	0.14216	0.99541	2.51415	0.09572	1.0998	0.19886	0.09251	0.18701	0.18615	0.39344	0.00546	0.02486	0.03074	0.21618	0.2501	0.53585	0.14836	0.41164	0.36601	0.07241	0.22268	0.03765	0.0412	0.6149	0.05126	0.11248	0.12348	0.13965	0.49359	0.12026	0.18371	7.0431	0.94093	0.40986	0.64886	0.14108	0.04923	0.14499	0.11514	0.05405	0.01647	0.56658	0.01588	0.56412	0.16476	0.67315	0.11399	0.03052	1.83219	1.67941	1.13787	0.11137	0.51072	0.4141	0.52161	0.03784	0.53732	0.20656	1.8085	0.07104	0.45176	0.34646	0.06435	0.49001	0.3646	0.33208	0.08718	0.25207	0.07951	0.66083	4.00731	0.22625	0.3927	0.02348	0.08692	0.60138	0.56269	0.24399	0.27307	0.00918	0.0591	0.0112	0.54934	0.08757	0.39216	0.06311	0.28123	0.74462	0.48508	16.15922	3.74936	0.09506	0.03626
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.38653	0.34838	0.31975	0.12309	0.11539	0.0917	0.0535	0.04282	1.72595	0.19294	0.39016	0.02797	0.47717	0.30199	1.67477	0.05319	0.03148	0.04976	0.06482	0.87506	0.78075	0.06821	0.03344	0.08952	1.1263	0.02354	0.04767	0.02309	0.57472	0.07235	0.08275	0.00132	0.00104	0.00019	0.1059	0.17848	0.26274	0.2346	1.00733	0.00256	0.26091	0.01472	1.21897	0.19693	0.63447	0.02055	0.01398	0.99004	2.4686	0.08735	0.83272	0.02672	0.00224	0.01966	0.05034	0.0047	0	0.00325	0.01354	0.02414	0.00141	0.07776	0.04142	0.35274	0.24783	0.06092	0.1353	0	0.01849	0.4509	0.00324	0.00435	0.00178	0.00185	0.3937	0.05212	0.03949	5.21672	0.27879	0.0937	0.30677	0.02248	0.04583	0.13115	0.05865	0.0477	0.01405	0.53334	5.00E-05	0.0246	0.00225	0.5851	0.00346	0.01081	0.78933	0.63986	0.07282	0	0.12274	0.13912	0.36931	0.01507	0.43628	0.07177	1.72081	0.00355	0.43988	0.00224	0.00372	0.03843	0	0.00271	0.00053	0.25207	0.04639	0.16319	2.25198	0.18853	0.30798	0.00531	0.00438	0.34347	0.21727	0.00406	0.05209	0	0.02841	0.00279	0.54934	0.04934	0.3823	0.03216	0.08718	0.74375	0.27788	16.14835	3.74936	0.01004	0.00323
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00184	0.00153	0.00309	0	0	0.00085	0.00177	0.00073	0	0	0	0.00081	9.00E-05	0	0.00016	0	0	0	0.00147	0	0.00045	0	0	0.00974	0.00143	0.0066	0.00809	0.00085	0.00214	0	0	0	0	0.00019	0	0	0	0	0	9.00E-05	0.00028	0	0.00035	0.00443	0.01513	0	0	0	0	0	0.01916	0	0	0.00138	0	0	0	0	0.00239	0.02019	0	0	0.00331	0	0.0005	0	0.00395	0	0.01157	0.00246	0	0	0	0	0.00311	0	0	0.0179	0.00429	0.001	0.00312	0	0	0	0	0.00369	0.00035	0.07149	0	0	0	0	0	0	0.00051	0	0	0	0.00679	0.00302	0	0	0	0	0	0	0.00067	0	0	0.00024	0	0	0	0	0	0.00781	0.01832	0	0	0	0.00348	0	0.00615	0.00275	0.0121	0	0	0	0	0.00393	0	0	0	0.00079	0.00031	0.0059	0.00993	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00184	0.00153	0.00309	0	0	0.00085	0.00177	0.00073	0	0	0	0.00081	9.00E-05	0	0.00016	0	0	0	0.00147	0	0.00045	0	0	0.00974	0.00143	0.0066	0.00809	0.00085	0.00214	0	0	0	0	0.00019	0	0	0	0	0	9.00E-05	0.00028	0	0.00035	0.00443	0.01513	0	0	0	0	0	0.01916	0	0	0.00138	0	0	0	0	0.00239	0.02019	0	0	0.00331	0	0.0005	0	0.00395	0	0.01157	0.00246	0	0	0	0	0.00311	0	0	0.0179	0.00429	0.001	0.00312	0	0	0	0	0.00369	0.00035	0.07149	0	0	0	0	0	0	0.00051	0	0	0	0.00679	0.00302	0	0	0	0	0	0	0.00067	0	0	0.00024	0	0	0	0	0	0.00781	0.01832	0	0	0	0.00348	0	0.00615	0.00275	0.0121	0	0	0	0	0.00393	0	0	0	0.00079	0.00031	0.0059	0.00993	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00184	0.00153	0.00139	0	0	0.00085	0.00177	0.00073	0	0	0	0.00081	9.00E-05	0	0.00016	0	0	0	0.00147	0	0.00045	0	0	0.00974	0.00143	0.0066	0.00809	0.00085	0.00214	0	0	0	0	0.00019	0	0	0	0	0	9.00E-05	0.00028	0	0.00035	0.00443	0.01513	0	0	0	0	0	0.01593	0	0	0.00138	0	0	0	0	0.00239	0.02019	0	0	0.00331	0	0	0	0.00395	0	0.01157	0.0013	0	0	0	0	0	0	0	0.0179	0.00429	0.001	0.00312	0	0	0	0	0.00311	0.00035	0.07149	0	0	0	0	0	0	0.00051	0	0	0	0.00679	0.00302	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0.00781	0.01775	0	0	0	0.00348	0	0.00615	0.00275	0.0121	0	0	0	0	0.00393	0	0	0	0.00079	0.00031	0.0059	0.00987	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.00098	0.00045	0	0	0	0	0.00094	0	0	0	0	0.00045	9.00E-05	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0.00014	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0.00123	0.00185	0	0	0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00508	0	0	9.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0.00343	0	0	0	0	0	0	0.00011	0.00087	0	0	0	0	0.00238	0	0	0	0	0	0.00087	0.00987	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121	0	0	0
